,1,2,3,0
e4,e5,Nf3,Nc6,2081
d4,Nf6,c4,e6,1237
e4,c5,Nf3,d6,983
e4,c5,Nf3,Nc6,624
e4,c5,Nf3,e6,622
d4,Nf6,c4,g6,569
e4,c6,d4,d5,560
e4,e6,d4,d5,551
d4,d5,c4,e6,512
d4,d5,c4,c6,344
d4,Nf6,Nf3,g6,254
d4,d5,Nf3,Nf6,232
d4,Nf6,Nf3,e6,195
e4,d6,d4,Nf6,170
e4,g6,d4,Bg7,170
e4,e5,Nf3,Nf6,168
e4,c5,Nc3,Nc6,155
d4,Nf6,Nf3,d5,153
Nf3,Nf6,g3,g6,130
d4,Nf6,c4,c5,129
d4,d5,c4,dxc4,128
Nf3,d5,g3,Nf6,123
e4,c6,Nf3,d5,113
d4,Nf6,Nc3,d5,111
d4,d5,Bf4,Nf6,107
e4,c5,Nf3,g6,104
e4,d5,exd5,Qxd5,104
Nf3,Nf6,c4,g6,99
Nf3,Nf6,c4,e6,91
c4,e6,Nc3,d5,83
Nf3,Nf6,g3,d5,81
e4,c5,Nc3,d6,78
Nf3,d5,d4,Nf6,77
e4,c5,Nc3,e6,76
e4,c5,c3,d5,74
d4,Nf6,Bf4,g6,70
e4,c5,c3,Nf6,68
Nf3,d5,g3,g6,66
e4,Nf6,e5,Nd5,65
e4,c6,Nc3,d5,63
e4,c5,d4,cxd4,60
d4,Nf6,Bg5,d5,60
c4,e5,Nc3,Nf6,54
Nf3,d5,g3,c6,52
e4,e5,Nf3,d6,52
e4,d5,exd5,Nf6,51
d4,Nf6,Bf4,d5,51
Nf3,d5,e3,Nf6,50
e4,e5,Nc3,Nf6,50
c4,e6,Nf3,d5,49
e4,e5,Bc4,Nf6,48
d4,g6,e4,Bg7,46
c4,Nf6,Nc3,g6,46
d4,g6,c4,Bg7,46
d4,Nf6,Bf4,e6,44
e4,e6,d3,d5,43
d4,e6,c4,b6,42
d4,d5,Nc3,Nf6,41
Nf3,d5,c4,e6,41
e4,c5,Nf3,a6,38
b3,e5,Bb2,Nc6,37
Nf3,d5,g3,c5,36
c4,e6,g3,d5,35
c4,Nf6,Nc3,e6,35
Nf3,c5,c4,Nc6,35
d4,d5,Nf3,e6,35
Nf3,d5,g3,Nd7,34
c4,Nf6,Nc3,e5,33
d4,d5,Bf4,c5,32
Nf3,Nf6,c4,c5,32
d4,Nf6,c4,d6,31
Nf3,d5,g3,Bg4,31
d4,d6,e4,Nf6,29
d4,d6,Nf3,g6,29
Nf3,c5,g3,Nc6,29
d4,Nf6,Nf3,c5,29
e4,c5,Nf3,Nf6,29
Nf3,d5,c4,d4,29
d4,f5,c4,Nf6,28
e4,c5,Nc3,a6,28
c4,e5,Nc3,Bb4,27
c4,e5,Nc3,Nc6,25
e4,e6,Nf3,d5,25
Nf3,g6,g3,Bg7,24
d4,d6,c4,e5,24
Nf3,d5,g3,Nc6,23
d4,e6,Nf3,Nf6,23
d4,Nf6,c4,e5,23
e4,Nc6,Nf3,d6,23
c4,g6,Nc3,Bg7,23
e4,c5,d3,Nc6,22
d4,d6,e4,g6,22
Nf3,Nf6,g3,b5,22
d4,d6,Nf3,Nf6,22
e4,d6,d4,g6,21
d4,Nf6,Bg5,Ne4,21
Nf3,d5,c4,c6,20
c4,c6,Nf3,d5,20
Nf3,c5,c4,g6,20
d4,Nf6,Bf4,c5,20
Nf3,Nf6,g3,c5,20
c4,Nf6,Nc3,d5,19
c4,e5,g3,Nf6,19
c4,Nf6,g3,g6,19
Nf3,Nf6,g3,b6,19
e4,c6,d3,d5,18
c4,c5,Nf3,Nc6,18
Nf3,Nf6,b3,g6,18
d4,e6,c4,d5,18
d4,d5,Bf4,e6,18
c4,Nf6,g3,e6,17
d4,Nf6,Bg5,e6,17
e4,e5,d4,exd4,17
d4,f5,g3,Nf6,16
c4,e5,g3,c6,16
c4,g6,g3,Bg7,16
d4,f5,Nf3,Nf6,15
d4,Nf6,Nf3,d6,15
Nf3,Nf6,d4,g6,15
e4,e5,f4,exf4,14
Nf3,g6,d4,Bg7,14
d4,c5,d5,e5,14
Nf3,Nf6,c4,c6,14
d4,g6,Nf3,Bg7,14
e4,b6,d4,Bb7,14
Nf3,Nf6,c4,b6,14
d4,Nf6,Nf3,b6,13
e4,c5,c3,e6,13
e4,c5,Be2,Nc6,13
d4,d5,c4,Nf6,13
c4,e5,g3,Nc6,13
d4,Nf6,c4,b6,13
e4,c5,c3,d6,13
d4,Nf6,c4,c6,13
d4,d5,Nf3,Nc6,13
c4,c5,Nc3,Nc6,13
c4,Nf6,Nf3,e6,12
Nf3,Nf6,g3,e6,12
d4,d5,Nf3,c6,12
e4,e6,d3,c5,12
d4,d5,e3,Nf6,12
d4,e6,c4,Nf6,12
c4,Nf6,Nc3,c5,12
e4,c5,Nc3,g6,12
d4,d5,Bf4,Bf5,12
d4,e6,c4,f5,12
e4,Nc6,d4,d5,11
c4,c6,d4,d5,11
e4,e5,Nc3,Nc6,11
Nf3,Nf6,d4,e6,11
d4,e6,e4,d5,11
d4,c5,d5,Nf6,11
e4,c6,c4,d5,11
d4,Nf6,Bg5,c5,11
Nf3,d5,b3,Nf6,11
Nf3,g6,c4,Bg7,11
e4,e5,Nf3,d5,11
d4,d6,Nf3,Bg4,11
d4,Nf6,c4,Nc6,11
Nf3,c5,c4,Nf6,10
e4,g6,d4,d6,10
d4,Nf6,Bf4,d6,10
d4,d5,Nf3,Bf5,10
Nf3,c5,g3,g6,10
c4,c5,g3,g6,9
c4,e6,Nf3,Nf6,9
c4,Nf6,g3,c6,9
d4,c5,d5,d6,9
e4,c5,b3,Nc6,9
c4,c5,g3,Nc6,9
d4,Nf6,Bg5,g6,9
e4,e6,Qe2,c5,9
d4,e6,c4,Bb4+,9
d4,Nf6,g3,d5,9
d4,e6,Nf3,c5,9
c4,c5,Nf3,Nf6,9
c4,Nf6,d4,e6,8
c4,b6,Nc3,Bb7,8
c4,c6,Nc3,d5,8
e4,c5,c3,g6,8
Nf3,g6,e4,Bg7,8
Nf3,d5,d4,e6,8
d4,d5,Bf4,Nc6,8
e4,c5,Ne2,Nc6,8
Nf3,d5,b3,c5,8
d4,d5,c4,e5,8
e4,e6,b3,d5,8
g3,Nf6,Bg2,d5,8
e4,c6,Ne2,d5,8
d4,f5,e4,fxe4,7
d4,Nf6,e3,g6,7
d4,d5,Bf4,c6,7
c4,Nf6,Nf3,g6,7
f4,d5,Nf3,c5,7
d4,e6,Nf3,d5,7
d4,e5,dxe5,Nc6,7
Nf3,Nf6,b3,d5,7
e4,e5,Bc4,Nc6,7
c4,e5,Nc3,d6,7
