,1,2,3,4,5,0
e4,e5,Nf3,Nc6,Bb5,a6,677
e4,c5,Nf3,d6,d4,cxd4,644
e4,c5,Nf3,e6,d4,cxd4,426
d4,Nf6,c4,e6,Nf3,d5,399
e4,e5,Nf3,Nc6,Bc4,Bc5,388
d4,Nf6,c4,e6,Nc3,Bb4,387
e4,c5,Nf3,Nc6,d4,cxd4,310
d4,Nf6,c4,g6,Nc3,Bg7,280
e4,e5,Nf3,Nc6,Bc4,Nf6,278
e4,e5,Nf3,Nc6,d4,exd4,221
d4,d5,c4,c6,Nf3,Nf6,205
d4,d5,c4,e6,Nf3,Nf6,184
e4,e5,Nf3,Nc6,Bb5,Nf6,166
e4,e5,Nf3,Nc6,Nc3,Nf6,160
d4,d5,c4,e6,Nc3,Nf6,156
e4,c6,d4,d5,e5,Bf5,144
e4,c6,d4,d5,exd5,cxd5,135
d4,Nf6,c4,g6,Nc3,d5,133
e4,c6,d4,d5,Nc3,dxe4,130
d4,Nf6,c4,e6,Nf3,b6,118
e4,c5,Nf3,d6,Bb5+,Nd7,117
e4,c5,Nf3,Nc6,Bb5,g6,104
e4,e6,d4,d5,Nc3,Bb4,98
e4,e6,d4,d5,e5,c5,98
e4,c5,Nf3,d6,Bb5+,Bd7,97
e4,e5,Nf3,Nf6,Nxe5,d6,94
d4,Nf6,c4,e6,g3,d5,86
e4,e6,d4,d5,Nc3,Nf6,81
Nf3,Nf6,g3,g6,Bg2,Bg7,76
e4,d6,d4,Nf6,Nc3,e5,75
e4,e6,d4,d5,Nd2,c5,75
d4,Nf6,c4,e6,Nc3,d5,71
d4,d5,c4,c6,Nc3,Nf6,71
e4,g6,d4,Bg7,Nc3,d6,70
d4,Nf6,c4,e6,Nf3,Bb4+,69
e4,e6,d4,d5,exd5,exd5,68
e4,c5,c3,Nf6,e5,Nd5,68
e4,c5,c3,d5,exd5,Qxd5,67
e4,c6,d4,d5,Nd2,dxe4,64
d4,d5,Nf3,Nf6,c4,e6,63
e4,c5,Nf3,Nc6,Bb5,e6,62
Nf3,d5,g3,Nf6,Bg2,e6,61
e4,c5,Nf3,g6,d4,cxd4,60
e4,c6,d4,d5,e5,c5,58
d4,Nf6,Nf3,g6,c4,Bg7,57
d4,Nf6,c4,g6,g3,Bg7,55
d4,Nf6,Nf3,d5,c4,e6,55
Nf3,d5,g3,g6,Bg2,Bg7,55
d4,Nf6,c4,g6,Nf3,Bg7,52
d4,Nf6,Nf3,g6,g3,Bg7,50
e4,Nf6,e5,Nd5,d4,d6,49
e4,d6,d4,Nf6,Nc3,g6,48
d4,Nf6,c4,c5,d5,e6,46
d4,Nf6,c4,c5,d5,b5,44
d4,d5,c4,dxc4,Nf3,Nf6,43
d4,d5,c4,c6,cxd5,cxd5,43
e4,g6,d4,Bg7,Nf3,d6,41
d4,d5,Bf4,Nf6,e3,e6,40
e4,c5,Nc3,Nc6,Bb5,Nd4,40
Nf3,Nf6,c4,e6,g3,d5,40
e4,c5,Nf3,e6,g3,Nc6,38
Nf3,d5,d4,Nf6,c4,e6,38
